RXN0-385	3.6.1.9
RXN-15152	2.7.1.202
RXN-21631	1.1.1.100
RXN-13763	4.2.3.137
3.2.1.52-RXN	3.2.1.52
2.3.1.42-RXN	2.3.1.42
RXN-10699	2.3.1.16
1.2.1.45-RXN	1.1.1.312
RXN-17425	1.3.7.15
SULFITE-REDUCTASE-FERREDOXIN-RXN	1.8.7.1
RXN-19315	3.1.3.73
NARINGENIN-3-DIOXYGENASE-RXN	1.14.11.9
PRIBFAICARPISOM-RXN	5.3.1.16
RXN-17485	1.3.7.7
DIHYDROKAEMPFEROL-4-REDUCTASE-RXN	1.1.1.219
GTP-CYCLOHYDRO-II-RXN	3.5.4.25
RXN-6763	4.4.1.13
RXN-13418	1.14.14.5
RXN-9230	2.5.1.39
RXN-12961	1.1.1.324
RXN-12669	1.3.3.6
RXN-12710	2.3.1.16
RXN-9673	6.2.1.3
3.2.1.145-RXN	3.2.1.145
RXN-12268	4.2.2.24
D-PPENTOMUT-RXN	5.4.2.7
RXN-15941	5.1.1.22
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	4.1.2.52
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	2.1.1.35
GLYC3PDEHYDROGBIOSYN-RXN	1.1.1.94
ARALKYLAMINE-DEHYDROGENASE-RXN	1.4.9.2
ADENYLYLSULFATASE-RXN	3.6.2.1
RXN-12072	1.14.12.19
ACETYLESTERASE-RXN	3.1.1.6
2.3.1.23-RXN	2.3.1.23
RXN-21780	4.2.1.17
RXN-17777	1.1.1.35
RXN-15311	1.14.11.46
RXN-18175	1.14.14.42
RXN-12059	3.1.4.37
RXN-13398	1.14.13.122
1.1.3.41-RXN	1.1.3.41
R546-RXN	1.14.13.160
RXN-13678	2.3.1.80
RXN-17736	3.1.1.4
RXN-8930	3.5.1.84
RXN-8001	1.1.1.23
2.3.1.159-RXN	2.3.1.159
RXN-17718	1.3.1.112
2.5.1.66-RXN	2.5.1.66
RXN-9892	5.5.1.7
3.4.19.5-RXN	3.4.19.5
3.4.21.89-RXN	3.4.21.89
ALDOSE-1-EPIMERASE-RXN	5.1.3.3
3.1.1.81-RXN	3.1.1.81
RXN-13635	1.14.11.45
RXN-7021	2.4.1.202
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	1.2.1.4
RXN-15561	2.3.2.27
RXN-11825	1.1.1.15
RXN-17978	2.1.1.335
RXN-13065	1.5.3.21
RXN-10952	3.1.3.25
RXN-19027	3.2.2.17
PRPPAMIDOTRANS-RXN	2.4.2.14
RXN-8766	2.1.1.196
1.14.13.117-RXN	1.14.14.39
RXN-15704	4.2.3.147
RXN-19684	1.14.14.78
RXN-8141	2.7.8.41
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	2.3.1.20
RXN1F-461	2.4.1.91
RXN-16071	1.14.19.36
RXN-11768	4.1.3.41
RXN-11346	2.4.1.227
RXN-19626	2.5.1.18
RXN-17432	2.1.1.332
RXN-12410	1.3.99.29
RXN-9720	1.17.1.3
RXNQT-4334	1.14.13.237
MORPHINE-6-DEHYDROGENASE-RXN	1.1.1.218
RXN-14120	2.7.4.6
RXN-18292	2.4.99.9
RXN-10445	3.7.1.20
NAD-SYNTH-NH3-RXN	6.3.1.5
RXN-14562	2.4.1.308
1.5.1.34-RXN	1.5.1.34
RXN-12327	5.4.99.33
RXN-10442	1.14.12.13
RXN-17381	1.14.11.52
RXN-18272	2.4.1.80
LEUCINE--TRNA-LIGASE-RXN	6.1.1.4
RXN-19138	4.2.1.131
NUCLEOSIDE-PHOSPHATE-KINASE-RXN	2.7.4.4
RXN-13125	2.4.1.301
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	4.1.1.44
RXN0-6566	6.5.1.8
DEXTRIN-DEXTRANASE-RXN	2.4.1.2
PYRUVATE-DECARBOXYLASE-RXN	4.1.1.1
RXN0-5116	2.7.1.16
RXN-10053	2.2.1.11
2.7.8.25-RXN	2.4.2.52
RXN-1803	2.4.1.10
RXN-10660	4.2.1.59
RXN-9740	1.14.13.131
RXN-16626	1.1.1.100
METHENYLTHFCYCLOHYDRO-RXN	3.5.4.9
1.1.1.201-RXN	1.1.1.201
1.1.1.222-RXN	1.1.1.237
ALLOPHANATE-HYDROLASE-RXN	3.5.1.54
3.5.1.87-RXN	3.5.1.87
RXN-8588	4.2.3.92
RXN1G-186	3.5.1.115
RXN-8106	1.5.98.3
RXN-10828	2.7.8.23
RXN-17397	1.1.1.391
1.1.1.283-RXN	1.1.1.283
RXN-9616	1.14.19.6
RXN-19818	5.1.1.24
RXN-13403	2.1.1.107
2.3.2.1-RXN	2.3.2.1
RXN0-5433	4.1.2.53
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	1.1.1.195
RXN-11036	1.1.1.303
METHYLASPARTATE-AMMONIA-LYASE-RXN	4.3.1.2
RXN1G01-40	1.3.8.7
RXN-10892	2.1.1.341
RXN-761	2.4.1.347
RXN-12466	2.1.1.220
PSERTRANSAM-RXN	2.6.1.52
RXNI-3	1.1.5.4
RXN-802	4.1.1.102
1.14.21.2-RXN	1.14.19.65
RXN-14266	4.2.1.17
1.1.1.255-RXN	1.1.1.255
GLYCOPROTEIN-O-FATTY-ACYLTRANSFERASE-RXN	2.3.1.142
RXN-10463	1.5.3.15
RXN-19335	2.5.1.17
2.1.1.124-RXN	2.1.1.321
RXN-17415	1.1.1.393
RXN-20560	3.1.1.32
RXN-13602	3.2.1.21
STEROL-ESTERASE-RXN	3.1.1.13
3.4.21.65-RXN	3.4.21.65
1.1.1.220-RXN	1.1.1.220
R4-RXN	1.11.1.26
RXN-15058	2.4.1.318
RXN-16024	2.3.1.15
RXN-14124	3.1.3.6
RXN-21614	1.1.1.100
DCYSDESULF-RXN	4.4.1.15
F16BDEPHOS-RXN	3.1.3.11
RXN-17875	3.4.11.18
RXN-9489	1.1.1.353
RXN-3944	3.5.2.20
3.2.1.21-RXN	3.2.1.21
RXN-3945	4.1.1.7
4.99.1.5-RXN	4.99.1.5
RXN0-5266	7.1.1.7
RXN-12767	2.1.1.234
TRANS-RXN-334	7.5.2.11
1.14.13.104-RXN	1.14.14.143
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	2.7.7.5
RXN-11316	1.1.2.6
RXN-18339	1.14.99.58
GUANOSINEKIN-RXN	2.7.1.73
RXN-19229	2.5.1.147
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	2.6.1.45
RXN0-3901	6.3.1.11
4.1.3.26-RXN	4.1.3.26
6PFRUCTPHOS-RXN	2.7.1.11
D--TARTRATE-DEHYDRATASE-RXN	4.2.1.81
RXN-20739	3.1.1.2
RXN-20140	1.1.1.144
RXN-18458	1.14.99.60
RXN-20686	1.1.99.13
RXN-16408	1.2.1.84
2.3.2.10-RXN	2.3.2.10
RXN-6741	2.1.1.146
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	3.1.2.12
AIRCARBOXY-RXN	4.1.1.21
RXN-13508	1.14.14.126
RXN-20580	1.13.11.34
ASPARTATE-4-DECARBOXYLASE-RXN	4.1.1.12
RXN-9601	1.14.19.6
1.1.1.272-RXN	1.1.1.272
2.4.1.123-RXN	2.4.1.123
L-AMINO-ACID-OXIDASE-RXN	1.4.3.2
RXN-13138	1.18.1.5
3.4.23.16-RXN	3.4.23.16
RXN-15753	1.1.1.377
RXN-14542	1.14.11.41
RXN-12374	2.1.1.214
2.4.1.79-RXN	2.4.1.79
BETA-LACTAMASE-RXN	3.5.2.6
METHIONINE--TRNA-LIGASE-RXN	6.1.1.10
RXN-7599	2.1.1.160
RXN-13371	3.1.1.91
RXN-15288	1.11.1.7
RXN-19657	2.1.1.42
RXN-9157	2.3.2.2
3.4.23.44-RXN	3.4.23.44
RXN-11578	2.1.1.170
RXN-10600	4.2.3.70
RXN-21484	1.3.99.4
RXN-15658	2.3.1.13
6-OXOHEXANOATE-OXIDATION-RXN	1.2.1.63
RXN-9958	1.2.1.18
RXN-20345	1.1.1.330
RXN-9730	4.1.1.87
RXN-12035	1.21.99.3
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	1.1.1.30
RXN-16631	4.2.1.59
RXN1G-306	2.3.1.293
RXN0-7020	1.1.1.346
N-CARBAMOYLSARCOSINE-AMIDASE-RXN	3.5.1.59
RXN-14173	3.5.1.100
DIAMACTRANS-RXN	2.3.1.57
RXN-9644	6.2.1.3
RXN-15417	2.5.1.121
RXN-7864	2.3.1.45
RXN-17808	1.2.1.3
RXN-17997	2.7.7.96
RXN-14726	4.2.1.84
RXN-17431	2.1.1.332
RXN0-4181	3.1.4.52
ACETOACETYL-COA-HYDROLASE-RXN	3.1.2.11
RXN1G-4	2.3.1.189
RXN-14023	1.1.1.2
2.8.2.23-RXN	2.8.2.23
3.2.1.36-RXN	3.2.1.36
RXN0-7239	6.2.1.3
2.4.1.151-RXN	2.4.1.87
RXN-13411	2.4.1.249
ABC-24-RXN	7.6.2.11
1.2.1.42-RXN	1.2.1.42
RXN-19183	1.14.15.24
2.3.1.135-RXN	2.3.1.135
RXN3O-5304	2.3.1.86
RXN4FS-2	2.1.1.71
RXN-1884	1.1.1.316
RXN-15598	7.2.1.3
RXN-15074	2.3.3.19
KETOACYLCOATHIOL-RXN	2.3.1.16
RXN-14495	1.3.1.93
RXN-12215	1.12.1.4
3.4.22.47-RXN	3.4.22.47
RXN-14570	2.3.1.234
HYDROXYMANDELONITRILE-LYASE-RXN	4.1.2.11
RXN-7933	3.5.1.16
RXN-11574	2.1.1.173
CYCLOHEXYLAMINE-OXIDASE-RXN	1.4.3.12
1.4.1.21-RXN	1.4.1.21
CYTOCHROME-C-PEROXIDASE-RXN	1.11.1.5
RXN-17581	1.14.13.69
RXN-11060	2.4.1.17
3.4.13.18-RXN	3.4.13.18
RXN-8512	4.2.3.132
RXN-7678	1.1.1.294
RXN66-313	1.1.1.170
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	2.1.1.11
RXN-8529	5.3.2.6
RXN-19572	3.4.19.13
RXN-16468	6.2.1.47
RXN-15106	1.14.15.33
RXN-7698	1.1.1.330
RXN-21688	1.3.1.9
RXN-4781	4.2.3.61
RXN0-6482	2.7.7.56
STEROL-O-ACYLTRANSFERASE-RXN	2.3.1.26
RXN-12642	1.1.1.102
NQOR-RXN	1.6.5.2
UROCANATE-HYDRATASE-RXN	4.2.1.49
RXN-17413	1.1.1.392
RXN-7977	1.14.14.57
2.3.1.167-RXN	2.3.1.167
MACROCIN-O-METHYLTRANSFERASE-RXN	2.1.1.101
RXN-14430	1.14.99.50
RXN66-343	1.3.1.22
RXN-20221	2.3.1.26
ENZRXN-201-RXN	1.1.1.2
RXN-14002	3.6.1.58
ARISTOLOCHENE-SYNTHASE-RXN	4.2.3.9
RXN0-724	1.1.98.6
2.7.11.24-RXN	2.7.11.24
RXN66-483	6.2.1.3
RXN66-513	1.13.11.34
RXN-10674	2.7.8.7
RXN-12550	3.1.1.64
3.5.2.18-RXN	3.5.2.18
3.4.23.2-RXN	3.4.23.2
4.2.2.11-RXN	4.2.2.11
1.5.1.7-RXN	1.5.1.7
RXN-21511	2.5.1.89
RXN-9866	1.14.13.20
RXN-12495	5.5.1.18
GLYOCARBOLIG-RXN	4.1.1.47
BIOTINIDASE-RXN	3.5.1.12
RNA-LIGASE-ATP-RXN	6.5.1.3
RXN-18594	2.7.1.217
2.3.1.116-RXN	2.3.1.116
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	2.4.1.64
+-NEOMENTHOL-DEHYDROGENASE-RXN	1.1.1.208
RXN-18950	1.4.3.13
3.5.2.14-RXN	3.5.2.14
RXN-18433	1.1.99.40
RXN-7771	5.1.3.18
ETHANOLAMINE-OXIDASE-RXN	1.4.3.8
PSII-RXN	1.10.3.9
RXN-20516	3.1.4.54
RXN-5469	2.4.1.261
RXN8J2-140	2.7.14.1
SUCROSE-PHOSPHORYLASE-RXN	2.4.1.7
RXN-14198	3.6.1.5
DEOXYADENPHOSPHOR-RXN	2.4.2.1
RXN-14140	3.6.1.9
3.4.21.86-RXN	3.4.21.86
RXN-14537	1.8.1.18
RXN-15165	2.7.1.191
RXN-15705	4.2.3.148
RXN-8783	3.1.1.17
3.1.4.1-RXN	3.1.4.1
3-OXOACID-COA-TRANSFERASE-RXN	2.8.3.5
1.2.1.25-RXN	1.2.1.25
RXN-14112	3.1.4.16
RXN-14719	2.3.1.229
RXN-7305	3.1.3.62
RXN-11382	1.1.1.372
GALACTOKIN-RXN	2.7.1.6
PNKIN-RXN	2.7.1.35
RXN-20917	1.1.5.12
RXN-20384	2.3.1.199
RXN0-3741	3.1.3.89
RXN-9721	2.4.1.184
RXN-8390	1.14.19.11
DIMETHYLGLYCINE-OXIDASE-RXN	1.5.3.10
RXN-11176	1.21.98.4
RXN-21666	4.2.1.59
4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN	3.5.1.51
RXN-10064	1.1.98.5
RXN66-221	4.1.1.28
2.1.1.129-RXN	2.1.1.129
TRANS-RXN-168	2.7.1.201
3.4.21.53-RXN	3.4.21.53
RXN-20524	2.7.7.41
RXN-14123	1.14.11.39
2-OXOGLUTARATE-SYNTHASE-RXN	1.2.7.3
RXN-9599	1.4.3.22
